"","Year","Pick","Name","Team"
"1",2019,1,"Zion Williamson","New Orleans Pelicans"
"2",2019,2,"Ja Morant","Memphis Grizzlies"
"3",2019,3,"RJ Barrett","New York Knicks"
"4",2019,4,"De'Andre Hunter","Los Angeles Lakers"
"5",2019,5,"Darius Garland","Cleveland Cavaliers"
"6",2019,6,"Jarrett Culver","Phoenix Suns"
"7",2019,7,"Coby White","Chicago Bulls"
"8",2019,8,"Jaxson Hayes","Atlanta Hawks"
"9",2019,9,"Rui Hachimura","Washington Wizards"
"10",2019,10,"Cam Reddish","Atlanta Hawks"
"11",2019,11,"Cameron Johnson","Minnesota Timberwolves"
"12",2019,12,"P.J. Washington","Charlotte Hornets"
"13",2019,13,"Tyler Herro","Miami Heat"
"14",2019,14,"Romeo Langford","Boston Celtics"
"15",2019,15,"Sekou Doumbouya","Detroit Pistons"
"16",2019,16,"Chuma Okeke","Orlando Magic"
"17",2019,17,"Nickeil Alexander-Walker","Brooklyn Nets"
"18",2019,18,"Goga Bitadze","Indiana Pacers"
"19",2019,19,"Luka Samanic","San Antonio Spurs"
"20",2019,20,"Matisse Thybulle","Boston Celtics"
"21",2019,21,"Brandon Clarke","Oklahoma City Thunder"
"22",2019,22,"Grant Williams","Boston Celtics"
"23",2019,23,"Darius Bazley","Utah Jazz"
"24",2019,24,"Ty Jerome","Philadelphia 76ers"
"25",2019,25,"Nassir Little","Portland Trail Blazers"
"26",2019,26,"Dylan Windler","Cleveland Cavaliers"
"27",2019,27,"Mfiondu Kabengele","Brooklyn Nets"
"28",2019,28,"Jordan Poole","Golden State Warriors"
"29",2019,29,"Keldon Johnson","San Antonio Spurs"
"30",2019,30,"Kevin Porter Jr.","Milwaukee Bucks"
"31",2019,31,"Nicolas Claxton","Brooklyn Nets"
"32",2019,32,"KZ Okpala","Phoenix Suns"
"33",2019,33,"Carsen Edwards","Philadelphia 76ers"
"34",2019,34,"Bruno Fernando","Philadelphia 76ers"
"35",2019,35,"Marcos Louzada Silva","Atlanta Hawks"
"36",2019,36,"Cody Martin","Charlotte Hornets"
"37",2019,37,"Deividas Sirvydis","Dallas Mavericks"
"38",2019,38,"Daniel Gafford","Chicago Bulls"
"39",2019,39,"Alen Smailagic","New Orleans Pelicans"
"40",2019,40,"Justin James","Sacramento Kings"
"41",2019,41,"Eric Paschall","Golden State Warriors"
"42",2019,42,"Admiral Schofield","Philadelphia 76ers"
"43",2019,43,"Jaylen Nowell","Minnesota Timberwolves"
"44",2019,44,"Bol Bol","Miami Heat"
"45",2019,45,"Isaiah Roby","Detroit Pistons"
"46",2019,46,"Talen Horton-Tucker","Orlando Magic"
"47",2019,47,"Ignas Brazdeikis","Sacramento Kings"
"48",2019,48,"Terance Mann","LA Clippers"
"49",2019,49,"Quinndary Weatherspoon","San Antonio Spurs"
"50",2019,50,"Jarrell Brantley","Indiana Pacers"
"51",2019,51,"Tremont Waters","Boston Celtics"
"52",2019,52,"Jalen McDaniels","Charlotte Hornets"
"53",2019,53,"Justin Wright-Foreman","Utah Jazz"
"54",2019,54,"Marial Shayok","Philadelphia 76ers"
"55",2019,55,"Kyle Guy","New York Knicks"
"56",2019,56,"Jaylen Hands","LA Clippers"
"57",2019,57,"Jordan Bone","New Orleans Pelicans"
"58",2019,58,"Miye Oni","Golden State Warriors"
"59",2019,59,"Dewan Hernandez","Toronto Raptors"
"60",2019,60,"Vanja Marinkovic","Sacramento Kings"
"61",2018,1,"Deandre Ayton","Phoenix Suns"
"62",2018,2,"Marvin Bagley III","Sacramento Kings"
"63",2018,3,"Luka Doncic","Atlanta Hawks"
"64",2018,4,"Jaren Jackson Jr.","Memphis Grizzlies"
"65",2018,5,"Trae Young","Dallas Mavericks"
"66",2018,6,"Mo Bamba","Orlando Magic"
"67",2018,7,"Wendell Carter Jr.","Chicago Bulls"
"68",2018,8,"Collin Sexton","Cleveland Cavaliers"
"69",2018,9,"Kevin Knox II","New York Knicks"
"70",2018,10,"Mikal Bridges","Philadelphia 76ers"
"71",2018,11,"Shai Gilgeous-Alexander","Charlotte Hornets"
"72",2018,12,"Miles Bridges","LA Clippers"
"73",2018,13,"Jerome Robinson","LA Clippers"
"74",2018,14,"Michael Porter Jr.","Denver Nuggets"
"75",2018,15,"Troy Brown Jr.","Washington Wizards"
"76",2018,16,"Zhaire Smith","Phoenix Suns"
"77",2018,17,"Donte DiVincenzo","Milwaukee Bucks"
"78",2018,18,"Lonnie Walker IV","San Antonio Spurs"
"79",2018,19,"Kevin Huerter","Atlanta Hawks"
"80",2018,20,"Josh Okogie","Minnesota Timberwolves"
"81",2018,21,"Grayson Allen","Utah Jazz"
"82",2018,22,"Chandler Hutchison","Chicago Bulls"
"83",2018,23,"Aaron Holiday","Indiana Pacers"
"84",2018,24,"Anfernee Simons","Portland Trail Blazers"
"85",2018,25,"Moritz Wagner","Los Angeles Lakers"
"86",2018,26,"Landry Shamet","Philadelphia 76ers"
"87",2018,27,"Robert Williams III","Boston Celtics"
"88",2018,28,"Jacob Evans","Golden State Warriors"
"89",2018,29,"Dzanan Musa","Brooklyn Nets"
"90",2018,30,"Omari Spellman","Atlanta Hawks"
"91",2018,31,"Elie Okobo","Phoenix Suns"
"92",2018,32,"Jevon Carter","Memphis Grizzlies"
"93",2018,33,"Jalen Brunson","Dallas Mavericks"
"94",2018,34,"Devonte' Graham","Atlanta Hawks"
"95",2018,35,"Melvin Frazier Jr.","Orlando Magic"
"96",2018,36,"Mitchell Robinson","New York Knicks"
"97",2018,37,"Gary Trent Jr.","Sacramento Kings"
"98",2018,38,"Khyri Thomas","Philadelphia 76ers"
"99",2018,39,"Isaac Bonga","Philadelphia 76ers"
"100",2018,40,"Rodions Kurucs","Brooklyn Nets"
"101",2018,41,"Jarred Vanderbilt","Orlando Magic"
"102",2018,42,"Bruce Brown","Detroit Pistons"
"103",2018,43,"Justin Jackson","Denver Nuggets"
"104",2018,44,"Issuf Sanon","Washington Wizards"
"105",2018,45,"Hamidou Diallo","Brooklyn Nets"
"106",2018,46,"De'Anthony Melton","Houston Rockets"
"107",2018,47,"Svi Mykhailiuk","Los Angeles Lakers"
"108",2018,48,"Keita Bates-Diop","Minnesota Timberwolves"
"109",2018,49,"Chimezie Metu","Milwaukee Bucks"
"110",2018,50,"Alize Johnson","Indiana Pacers"
"111",2018,51,"Tony Carr","New Orleans Pelicans"
"112",2018,52,"Vincent Edwards","Utah Jazz"
"113",2018,53,"Devon Hall","Oklahoma City Thunder"
"114",2018,54,"Shake Milton","Dallas Mavericks"
"115",2018,55,"Arnoldas Kulboka","Charlotte Hornets"
"116",2018,56,"Ray Spalding","Philadelphia 76ers"
"117",2018,57,"Kevin Hervey","Oklahoma City Thunder"
"118",2018,58,"Thomas Welsh","Denver Nuggets"
"119",2018,59,"George King","Phoenix Suns"
"120",2018,60,"Kostas Antetokounmpo","Philadelphia 76ers"
"121",2017,1,"Markelle Fultz","Philadelphia 76ers"
"122",2017,2,"Lonzo Ball","Los Angeles Lakers"
"123",2017,3,"Jayson Tatum","Boston Celtics"
"124",2017,4,"Josh Jackson","Phoenix Suns"
"125",2017,5,"De'Aaron Fox","Sacramento Kings"
"126",2017,6,"Jonathan Isaac","Orlando Magic"
"127",2017,7,"Lauri Markkanen","Minnesota Timberwolves"
"128",2017,8,"Frank Ntilikina","New York Knicks"
"129",2017,9,"Dennis Smith Jr.","Dallas Mavericks"
"130",2017,10,"Zach Collins","Sacramento Kings"
"131",2017,11,"Malik Monk","Charlotte Hornets"
"132",2017,12,"Luke Kennard","Detroit Pistons"
"133",2017,13,"Donovan Mitchell","Denver Nuggets"
"134",2017,14,"Bam Adebayo","Miami Heat"
"135",2017,15,"Justin Jackson","Portland Trail Blazers"
"136",2017,16,"Justin Patton","Chicago Bulls"
"137",2017,17,"D.J. Wilson","Milwaukee Bucks"
"138",2017,18,"T.J. Leaf","Indiana Pacers"
"139",2017,19,"John Collins","Atlanta Hawks"
"140",2017,20,"Harry Giles III","Portland Trail Blazers"
"141",2017,21,"Terrance Ferguson","Oklahoma City Thunder"
"142",2017,22,"Jarrett Allen","Brooklyn Nets"
"143",2017,23,"OG Anunoby","Toronto Raptors"
"144",2017,24,"Tyler Lydon","Utah Jazz"
"145",2017,25,"Anzejs Pasecniks","Orlando Magic"
"146",2017,26,"Caleb Swanigan","Portland Trail Blazers"
"147",2017,27,"Kyle Kuzma","Brooklyn Nets"
"148",2017,28,"Tony Bradley","Los Angeles Lakers"
"149",2017,29,"Derrick White","San Antonio Spurs"
"150",2017,30,"Josh Hart","Utah Jazz"
"151",2017,31,"Frank Jackson","Charlotte Hornets"
"152",2017,32,"Davon Reed","Phoenix Suns"
"153",2017,33,"Wes Iwundu","Orlando Magic"
"154",2017,34,"Frank Mason","Sacramento Kings"
"155",2017,35,"Ivan Rabb","Orlando Magic"
"156",2017,36,"Jonah Bolden","Philadelphia 76ers"
"157",2017,37,"Semi Ojeleye","Boston Celtics"
"158",2017,38,"Jordan Bell","Chicago Bulls"
"159",2017,39,"Jawun Evans","Philadelphia 76ers"
"160",2017,40,"Dwayne Bacon","New Orleans Pelicans"
"161",2017,41,"Tyler Dorsey","Atlanta Hawks"
"162",2017,42,"Thomas Bryant","Utah Jazz"
"163",2017,43,"Isaiah Hartenstein","Houston Rockets"
"164",2017,44,"Damyean Dotson","New York Knicks"
"165",2017,45,"Dillon Brooks","Houston Rockets"
"166",2017,46,"Sterling Brown","Philadelphia 76ers"
"167",2017,47,"Ike Anigbogu","Indiana Pacers"
"168",2017,48,"Sindarius Thornwell","Milwaukee Bucks"
"169",2017,49,"Vlatko Cancar","Denver Nuggets"
"170",2017,50,"Mathias Lessort","Philadelphia 76ers"
"171",2017,51,"Monte Morris","Denver Nuggets"
"172",2017,52,"Edmond Sumner","New Orleans Pelicans"
"173",2017,53,"Kadeem Allen","Boston Celtics"
"174",2017,54,"Alec Peters","Phoenix Suns"
"175",2017,55,"Nigel Williams-Goss","Utah Jazz"
"176",2017,56,"Jabari Bird","Boston Celtics"
"177",2017,57,"Aleksandar Vezenkov","Brooklyn Nets"
"178",2017,58,"Ognen Jaramaz","New York Knicks"
"179",2017,59,"Jaron Blossomgame","San Antonio Spurs"
"180",2017,60,"Alpha Kaba","Atlanta Hawks"
"181",2016,1,"Ben Simmons","Philadelphia 76ers"
"182",2016,2,"Brandon Ingram","Los Angeles Lakers"
"183",2016,3,"Jaylen Brown","Boston Celtics"
"184",2016,4,"Dragan Bender","Phoenix Suns"
"185",2016,5,"Kris Dunn","Minnesota Timberwolves"
"186",2016,6,"Buddy Hield","New Orleans Pelicans"
"187",2016,7,"Jamal Murray","Denver Nuggets"
"188",2016,8,"Marquese Chriss","Phoenix Suns"
"189",2016,9,"Jakob Poeltl","Toronto Raptors"
"190",2016,10,"Thon Maker","Milwaukee Bucks"
"191",2016,11,"Domantas Sabonis","Oklahoma City Thunder"
"192",2016,12,"Taurean Prince","Utah Jazz"
"193",2016,13,"Georgios Papagiannis","Sacramento Kings"
"194",2016,14,"Denzel Valentine","Chicago Bulls"
"195",2016,15,"Juancho Hernangomez","Denver Nuggets"
"196",2016,16,"Guerschon Yabusele","Boston Celtics"
"197",2016,17,"Wade Baldwin IV","Memphis Grizzlies"
"198",2016,18,"Henry Ellenson","Detroit Pistons"
"199",2016,19,"Malik Beasley","Denver Nuggets"
"200",2016,20,"Caris LeVert","Indiana Pacers"
"201",2016,21,"DeAndre' Bembry","Atlanta Hawks"
"202",2016,22,"Malachi Richardson","Charlotte Hornets"
"203",2016,23,"Ante Zizic","Boston Celtics"
"204",2016,24,"Timothe Luwawu-Cabarrot","Philadelphia 76ers"
"205",2016,25,"Brice Johnson","LA Clippers"
"206",2016,26,"Furkan Korkmaz","Philadelphia 76ers"
"207",2016,27,"Pascal Siakam","Toronto Raptors"
"208",2016,28,"Skal Labissiere","Sacramento Kings"
"209",2016,29,"Dejounte Murray","San Antonio Spurs"
"210",2016,30,"Damian Jones","Golden State Warriors"
"211",2016,31,"Deyonta Davis","Boston Celtics"
"212",2016,32,"Ivica Zubac","Los Angeles Lakers"
"213",2016,33,"Cheick Diallo","LA Clippers"
"214",2016,34,"Tyler Ulis","Phoenix Suns"
"215",2016,35,"Rade Zagorac","Boston Celtics"
"216",2016,36,"Malcolm Brogdon","Milwaukee Bucks"
"217",2016,37,"Chinanu Onuaku","Houston Rockets"
"218",2016,38,"Patrick McCaw","Golden State Warriors"
"219",2016,39,"David Michineau","New Orleans Pelicans"
"220",2016,40,"Diamond Stone","New Orleans Pelicans"
"221",2016,41,"Stephen Zimmerman","Orlando Magic"
"222",2016,42,"Isaiah Whitehead","Brooklyn Nets"
"223",2016,43,"Zhou Qi","Houston Rockets"
"224",2016,44,"Isaia Cordinier","Atlanta Hawks"
"225",2016,45,"Demetrius Jackson","Boston Celtics"
"226",2016,46,"AJ Hammons","Dallas Mavericks"
"227",2016,47,"Jake Layman","Orlando Magic"
"228",2016,48,"Paul Zipser","Chicago Bulls"
"229",2016,49,"Michael Gbinije","Detroit Pistons"
"230",2016,50,"Georges Niang","Indiana Pacers"
"231",2016,51,"Ben Bentil","Boston Celtics"
"232",2016,52,"Joel Bolomboy","Utah Jazz"
"233",2016,53,"Petr Cornelie","Denver Nuggets"
"234",2016,54,"Kay Felder","Atlanta Hawks"
"235",2016,55,"Marcus Paige","Utah Jazz"
"236",2016,56,"Daniel Hamilton","Denver Nuggets"
"237",2016,57,"Wang Zhelin","Memphis Grizzlies"
"238",2016,58,"Abdel Nader","Boston Celtics"
"239",2016,59,"Isaiah Cousins","Sacramento Kings"
"240",2016,60,"Tyrone Wallace","Utah Jazz"
"241",2015,1,"Karl-Anthony Towns","Minnesota Timberwolves"
"242",2015,2,"D'Angelo Russell","Los Angeles Lakers"
"243",2015,3,"Jahlil Okafor","Philadelphia 76ers"
"244",2015,4,"Kristaps Porzingis","New York Knicks"
"245",2015,5,"Mario Hezonja","Orlando Magic"
"246",2015,6,"Willie Cauley-Stein","Sacramento Kings"
"247",2015,7,"Emmanuel Mudiay","Denver Nuggets"
"248",2015,8,"Stanley Johnson","Detroit Pistons"
"249",2015,9,"Frank Kaminsky","Charlotte Hornets"
"250",2015,10,"Justise Winslow","Miami Heat"
"251",2015,11,"Myles Turner","Indiana Pacers"
"252",2015,12,"Trey Lyles","Utah Jazz"
"253",2015,13,"Devin Booker","Phoenix Suns"
"254",2015,14,"Cameron Payne","Oklahoma City Thunder"
"255",2015,15,"Kelly Oubre Jr.","Atlanta Hawks"
"256",2015,16,"Terry Rozier","Boston Celtics"
"257",2015,17,"Rashad Vaughn","Milwaukee Bucks"
"258",2015,18,"Sam Dekker","Houston Rockets"
"259",2015,19,"Jerian Grant","Washington Wizards"
"260",2015,20,"Delon Wright","Toronto Raptors"
"261",2015,21,"Justin Anderson","Dallas Mavericks"
"262",2015,22,"Bobby Portis","Chicago Bulls"
"263",2015,23,"Rondae Hollis-Jefferson","Portland Trail Blazers"
"264",2015,24,"Tyus Jones","Cleveland Cavaliers"
"265",2015,25,"Jarell Martin","Memphis Grizzlies"
"266",2015,26,"Nikola Milutinov","San Antonio Spurs"
"267",2015,27,"Larry Nance Jr.","Los Angeles Lakers"
"268",2015,28,"RJ Hunter","Boston Celtics"
"269",2015,29,"Chris McCullough","Brooklyn Nets"
"270",2015,30,"Kevon Looney","Golden State Warriors"
"271",2015,31,"Cedi Osman","Minnesota Timberwolves"
"272",2015,32,"Montrezl Harrell","Houston Rockets"
"273",2015,33,"Jordan Mickey","Boston Celtics"
"274",2015,34,"Anthony Brown","Los Angeles Lakers"
"275",2015,35,"Willy Hernangomez","Philadelphia 76ers"
"276",2015,36,"Rakeem Christmas","Minnesota Timberwolves"
"277",2015,37,"Richaun Holmes","Philadelphia 76ers"
"278",2015,38,"Darrun Hilliard","Detroit Pistons"
"279",2015,39,"Juan Pablo Vaulet","Charlotte Hornets"
"280",2015,40,"Josh Richardson","Miami Heat"
"281",2015,41,"Pat Connaughton","Brooklyn Nets"
"282",2015,42,"Olivier Hanlan","Utah Jazz"
"283",2015,43,"Joe Young","Indiana Pacers"
"284",2015,44,"Andrew Harrison","Phoenix Suns"
"285",2015,45,"Marcus Thornton","Boston Celtics"
"286",2015,46,"Norman Powell","Milwaukee Bucks"
"287",2015,47,"Arturas Gudaitis","Philadelphia 76ers"
"288",2015,48,"Dakari Johnson","Oklahoma City Thunder"
"289",2015,49,"Aaron White","Washington Wizards"
"290",2015,50,"Marcus Eriksson","Atlanta Hawks"
"291",2015,51,"Tyler Harvey","Orlando Magic"
"292",2015,52,"Satnam Singh","Dallas Mavericks"
"293",2015,53,"Sir'Dominic Pointer","Cleveland Cavaliers"
"294",2015,54,"Daniel Diez","Utah Jazz"
"295",2015,55,"Cady Lalanne","San Antonio Spurs"
"296",2015,56,"Branden Dawson","New Orleans Pelicans"
"297",2015,57,"Nikola Radicevic","Denver Nuggets"
"298",2015,58,"JP Tokoto","Philadelphia 76ers"
"299",2015,59,"Dimitrios Agravanis","Atlanta Hawks"
"300",2015,60,"Luka Mitrovic","Philadelphia 76ers"
"301",2014,1,"Andrew Wiggins","Cleveland Cavaliers"
"302",2014,2,"Jabari Parker","Milwaukee Bucks"
"303",2014,3,"Joel Embiid","Philadelphia 76ers"
"304",2014,4,"Aaron Gordon","Orlando Magic"
"305",2014,5,"Dante Exum","Utah Jazz"
"306",2014,6,"Marcus Smart","Boston Celtics"
"307",2014,7,"Julius Randle","Los Angeles Lakers"
"308",2014,8,"Nik Stauskas","Sacramento Kings"
"309",2014,9,"Noah Vonleh","Charlotte Hornets"
"310",2014,10,"Elfrid Payton","Philadelphia 76ers"
"311",2014,11,"Doug McDermott","Denver Nuggets"
"312",2014,12,"Dario Saric","Orlando Magic"
"313",2014,13,"Zach LaVine","Minnesota Timberwolves"
"314",2014,14,"T.J. Warren","Phoenix Suns"
"315",2014,15,"Adreian Payne","Atlanta Hawks"
"316",2014,16,"Jusuf Nurkic","Chicago Bulls"
"317",2014,17,"James Young","Boston Celtics"
"318",2014,18,"Tyler Ennis","Phoenix Suns"
"319",2014,19,"Gary Harris","Chicago Bulls"
"320",2014,20,"Bruno Caboclo","Toronto Raptors"
"321",2014,21,"Mitch McGary","Oklahoma City Thunder"
"322",2014,22,"Jordan Adams","Memphis Grizzlies"
"323",2014,23,"Rodney Hood","Utah Jazz"
"324",2014,24,"Shabazz Napier","Charlotte Hornets"
"325",2014,25,"Clint Capela","Houston Rockets"
"326",2014,26,"PJ Hairston","Miami Heat"
"327",2014,27,"Bogdan Bogdanovic","Phoenix Suns"
"328",2014,28,"C.J. Wilcox","Los Angeles Clippers"
"329",2014,29,"Josh Huestis","Oklahoma City Thunder"
"330",2014,30,"Kyle Anderson","San Antonio Spurs"
"331",2014,31,"Damien Inglis","Milwaukee Bucks"
"332",2014,32,"KJ McDaniels","Philadelphia 76ers"
"333",2014,33,"Joe Harris","Cleveland Cavaliers"
"334",2014,34,"Cleanthony Early","New York Knicks"
"335",2014,35,"Jarnell Stokes","Utah Jazz"
"336",2014,36,"Johnny O'Bryant III","Milwaukee Bucks"
"337",2014,37,"DeAndre Daniels","Toronto Raptors"
"338",2014,38,"Spencer Dinwiddie","Detroit Pistons"
"339",2014,39,"Jerami Grant","Philadelphia 76ers"
"340",2014,40,"Glenn Robinson III","Minnesota Timberwolves"
"341",2014,41,"Nikola Jokic","Denver Nuggets"
"342",2014,42,"Nick Johnson","Houston Rockets"
"343",2014,43,"Edy Tavares","Atlanta Hawks"
"344",2014,44,"Markel Brown","Minnesota Timberwolves"
"345",2014,45,"Dwight Powell","Charlotte Hornets"
"346",2014,46,"Jordan Clarkson","Washington Wizards"
"347",2014,47,"Russ Smith","Philadelphia 76ers"
"348",2014,48,"Lamar Patterson","Milwaukee Bucks"
"349",2014,49,"Cameron Bairstow","Chicago Bulls"
"350",2014,50,"Alec Brown","Phoenix Suns"
"351",2014,51,"Thanasis Antetokounmpo","New York Knicks"
"352",2014,52,"Vasilije Micic","Philadelphia 76ers"
"353",2014,53,"Alessandro Gentile","Minnesota Timberwolves"
"354",2014,54,"Nemanja Dangubic","Philadelphia 76ers"
"355",2014,55,"Semaj Christon","Miami Heat"
"356",2014,56,"Devyn Marble","Denver Nuggets"
"357",2014,57,"Louis Labeyrie","Indiana Pacers"
"358",2014,58,"Jordan McRae","San Antonio Spurs"
"359",2014,59,"Xavier Thames","Toronto Raptors"
"360",2014,60,"Cory Jefferson","San Antonio Spurs"
"361",2013,1,"Anthony Bennett","Cleveland Cavaliers"
"362",2013,2,"Victor Oladipo","Orlando Magic"
"363",2013,3,"Otto Porter Jr.","Washington Wizards"
"364",2013,4,"Cody Zeller","Charlotte Bobcats"
"365",2013,5,"Alex Len","Phoenix Suns"
"366",2013,6,"Nerlens Noel","New Orleans Pelicans"
"367",2013,7,"Ben McLemore","Sacramento Kings"
"368",2013,8,"Kentavious Caldwell-Pope","Detroit Pistons"
"369",2013,9,"Trey Burke","Minnesota Timberwolves"
"370",2013,10,"CJ McCollum","Portland Trail Blazers"
"371",2013,11,"Michael Carter-Williams","Philadelphia 76ers"
"372",2013,12,"Steven Adams","Oklahoma City Thunder"
"373",2013,13,"Kelly Olynyk","Dallas Mavericks"
"374",2013,14,"Shabazz Muhammad","Utah Jazz"
"375",2013,15,"Giannis Antetokounmpo","Milwaukee Bucks"
"376",2013,16,"Lucas Nogueira","Boston Celtics"
"377",2013,17,"Dennis Schroder","Atlanta Hawks"
"378",2013,18,"Shane Larkin","Atlanta Hawks"
"379",2013,19,"Sergey Karasev","Cleveland Cavaliers"
"380",2013,20,"Tony Snell","Chicago Bulls"
"381",2013,21,"Gorgui Dieng","Utah Jazz"
"382",2013,22,"Mason Plumlee","Brooklyn Nets"
"383",2013,23,"Solomon Hill","Indiana Pacers"
"384",2013,24,"Tim Hardaway Jr.","New York Knicks"
"385",2013,25,"Reggie Bullock","Los Angeles Clippers"
"386",2013,26,"Andre Roberson","Minnesota Timberwolves"
"387",2013,27,"Rudy Gobert","Denver Nuggets"
"388",2013,28,"Livio Jean-Charles","San Antonio Spurs"
"389",2013,29,"Archie Goodwin","Oklahoma City Thunder"
"390",2013,30,"Nemanja Nedovic","Phoenix Suns"
"391",2013,31,"Allen Crabbe","Cleveland Cavaliers"
"392",2013,32,"Alex Abrines","Oklahoma City Thunder"
"393",2013,33,"Carrick Felix","Cleveland Cavaliers"
"394",2013,34,"Isaiah Canaan","Houston Rockets"
"395",2013,35,"Glen Rice","Philadelphia 76ers"
"396",2013,36,"Ray McCallum","Sacramento Kings"
"397",2013,37,"Tony Mitchell","Detroit Pistons"
"398",2013,38,"Nate Wolters","Washington Wizards"
"399",2013,39,"Jeff Withey","Portland Trail Blazers"
"400",2013,40,"Grant Jerrett","Portland Trail Blazers"
"401",2013,41,"Jamaal Franklin","Memphis Grizzlies"
"402",2013,42,"Pierre Jackson","Philadelphia 76ers"
"403",2013,43,"Ricky Ledo","Milwaukee Bucks"
"404",2013,44,"Mike Muscala","Dallas Mavericks"
"405",2013,45,"Marko Todorovic","Portland Trail Blazers"
"406",2013,46,"Erick Green","Utah Jazz"
"407",2013,47,"Raul Neto","Atlanta Hawks"
"408",2013,48,"Ryan Kelly","Los Angeles Lakers"
"409",2013,49,"Erik Murphy","Chicago Bulls"
"410",2013,50,"James Ennis III","Atlanta Hawks"
"411",2013,51,"Romero Osby","Orlando Magic"
"412",2013,52,"Lorenzo Brown","Minnesota Timberwolves"
"413",2013,53,"Colton Iverson","Indiana Pacers"
"414",2013,54,"Arsalan Kazemi","Washington Wizards"
"415",2013,55,"Joffrey Lauvergne","Memphis Grizzlies"
"416",2013,56,"Peyton Siva","Detroit Pistons"
"417",2013,57,"Alex Oriakhi","Phoenix Suns"
"418",2013,58,"Deshaun Thomas","San Antonio Spurs"
"419",2013,59,"Bojan Dubljevic","Minnesota Timberwolves"
"420",2013,60,"Janis Timma","Memphis Grizzlies"
"421",2012,1,"Anthony Davis","New Orleans Hornets"
"422",2012,2,"Michael Kidd-Gilchrist","Charlotte Bobcats"
"423",2012,3,"Bradley Beal","Washington Wizards"
"424",2012,4,"Dion Waiters","Cleveland Cavaliers"
"425",2012,5,"Thomas Robinson","Sacramento Kings"
"426",2012,6,"Damian Lillard","Portland Trail Blazers"
"427",2012,7,"Harrison Barnes","Golden State Warriors"
"428",2012,8,"Terrence Ross","Toronto Raptors"
"429",2012,9,"Andre Drummond","Detroit Pistons"
"430",2012,10,"Austin Rivers","New Orleans Hornets"
"431",2012,11,"Meyers Leonard","Portland Trail Blazers"
"432",2012,12,"Jeremy Lamb","Houston Rockets"
"433",2012,13,"Kendall Marshall","Phoenix Suns"
"434",2012,14,"John Henson","Milwaukee Bucks"
"435",2012,15,"Maurice Harkless","Philadelphia 76ers"
"436",2012,16,"Royce White","Houston Rockets"
"437",2012,17,"Tyler Zeller","Dallas Mavericks"
"438",2012,18,"Terrence Jones","Houston Rockets"
"439",2012,19,"Andrew Nicholson","Orlando Magic"
"440",2012,20,"Evan Fournier","Denver Nuggets"
"441",2012,21,"Jared Sullinger","Boston Celtics"
