,name,mu,sd
0,Marcus Morris,0.0,5
118,Jayson Tatum,-0.7189283444795395,5
119,Jaylen Brown,-1.1271523444795395,5
120,Terry Rozier,-1.6923710111462062,5
130,Robin Lopez,3.2843277638537947,5
131,Cristiano Felicio,1.7145224305204605,5
132,Wayne Selden,-0.13241863614620608,5
144,Justin Holiday,0.4167788873871273,5
145,Tyler Dorsey,-0.3849205792795394,5
158,Amir Johnson,-2.388968498612873,5
159,Tobias Harris,1.1543379013871273,5
160,T.J. McConnell,-2.3655234319462064,5
172,Kyle Lowry,5.57505014272046,5
173,Marc Gasol,3.2867901427204607,5
174,OG Anunoby,-2.62421385727954,5
146,Avery Bradley,2.447548220720461,5
147,Delon Wright,-0.07594564594620601,5
187,Jeff Teague,2.712886002187126,5
188,Tyus Jones,-1.702033197812873,5
201,Alfonzo McKinnie,-3.0301678866128734,5
202,Draymond Green,1.2685473133871266,5
1,Damion Lee,0.0,5
203,Jordan Bell,-3.0224721532795398,5
216,Kemba Walker,1.2737081107204606,5
217,Miles Bridges,-1.0711878892795397,5
231,Wayne Ellington,-1.2265800749462064,5
232,Thon Maker,-1.1154750082795397,5
233,Langston Galloway,0.004599658387126837,5
234,Andre Drummond,4.920403125053794,5
244,Tomas Satoransky,-1.230909799212873,5
245,Bradley Beal,4.717110467453794,5
246,Thomas Bryant,-1.6978284658795395,5
258,Alex Len,-0.7952001985401458,5
259,Trae Young,-0.5268161985401457,5
260,Jaylen Adams,-1.892039131873479,5
273,Jarrett Allen,-0.6354377208795398,5
274,Caris LeVert,-0.7237897208795395,5
275,Allen Crabbe,3.755463612453795,5
276,DeMarre Carroll,2.9287969457871275,5
277,Rodions Kurucs,-0.7463177208795396,5
133,Otto Porter Jr.,6.392104563853794,5
288,Kenrich Williams,-2.0487419514795397,5
289,Anthony Davis,4.510137781853794,5
290,Julius Randle,0.031934315187126916,5
291,E'Twaun Moore,0.07665031518712695,5
303,Deandre Ayton,2.0192189883204605,5
304,De'Anthony Melton,0.09490965498712711,5
305,Mikal Bridges,0.7892989883204609,5
306,Richaun Holmes,0.26864832165379404,5
307,Troy Daniels,0.7107893883204606,5
2,Elie Okobo,0.0,5
317,Harrison Barnes,6.0110376435871276,5
3,Harry Giles III,0.0,5
318,Alec Burks,2.475787776920461,5
319,De'Aaron Fox,0.8582957769204606,5
329,Reggie Bullock,-0.9656670238128728,5
330,Mike Muscala,-0.29900035714620615,5
4,Alex Caruso,0.0,5
343,Eric Bledsoe,2.1262020295204604,5
344,Brook Lopez,-0.9719313038128731,5
345,Khris Middleton,1.592868696187127,5
346,Tony Snell,1.0081068295204603,5
5,D.J. Wilson,0.0,5
357,Damian Lillard,5.113208181987126,5
358,Seth Curry,-1.6021755513462064,5
359,Skal Labissiere,-1.9355219513462063,5
218,Michael Kidd-Gilchrist,1.540374777387127,5
219,Jeremy Lamb,0.07060731072046043,5
220,Cody Zeller,1.6811987773871269,5
371,D.J. Augustin,1.0022631272537936,5
372,Nikola Vucevic,2.602263127253794,5
373,Terrence Ross,1.8689297939204605,5
6,Bam Adebayo,0.0,5
382,Goran Dragic,2.9509481054537945,5
395,Rodney McGruder,-1.5370726097462064,5
408,Eric Gordon,0.10407437272046005,5
7,Nene,0.0,5
409,Gerald Green,-3.092665360612873,5
292,Darius Miller,-1.6843323514795399,5
293,Solomon Hill,0.9951151151871271,5
204,Klay Thompson,1.6736566467204608,5
396,Danilo Gallinari,3.807628190253794,5
397,Montrezl Harrell,-0.3490595430795397,5
398,JaMychal Green,0.14871832358712692,5
419,Lance Thomas,0.6928553948537938,5
420,Kevin Knox,-0.20840593847953948,5
421,Damyean Dotson,-0.8381867384795395,5
422,Emmanuel Mudiay,-0.06052327181287287,5
331,JaVale McGee,-1.228973423812873,5
332,Isaac Bonga,-1.365667023812873,5
347,Nikola Mirotic,1.4595353628537941,5
235,Jon Leuer,0.8053145917204603,5
383,Dion Waiters,1.2018347721204603,5
161,Mike Scott,-1.6401954319462064,5
434,Dwight Powell,1.1892574284537938,5
435,Luka Doncic,0.3704280951204604,5
436,Jalen Brunson,-1.0510759048795395,5
447,Jakob Poeltl,-1.6687626408795393,5
448,Davis Bertans,-0.588047974212873,5
449,Marco Belinelli,-0.8136890408795394,5
450,LaMarcus Aldridge,3.5044893591204613,5
8,Patty Mills,0.0,5
205,Andre Iguodala,0.8766633133871269,5
206,Shaun Livingston,-1.1746188199462064,5
460,Brandon Knight,1.801863137187127,5
461,Jordan Clarkson,1.233529803853794,5
462,Cedi Osman,-1.3598035294795396,5
463,Nik Stauskas,-1.9653501961462063,5
464,Ante Zizic,-1.5790675294795398,5
9,Deng Adel,0.0,5
278,Rondae Hollis-Jefferson,-0.519107854212873,5
410,Iman Shumpert,-0.5596960272795396,5
474,Rudy Gobert,3.477074930787127,5
475,Kyle Korver,-0.7713445358795396,5
476,Jae Crowder,-0.8391245358795397,5
477,Grayson Allen,-2.2341925358795396,5
399,Wilson Chandler,1.4644236569204607,5
489,Thaddeus Young,1.4351442607204608,5
490,Wesley Matthews,-2.098535472612873,5
491,Cory Joseph,-0.11660107261287325,5
492,TJ Leaf,-1.5932517392795398,5
493,Darren Collison,0.4313989273871269,5
162,Boban Marjanovic,-0.9256620986128732,5
294,Dairis Bertans,-2.22054035147954,5
504,Jamal Murray,-1.2988946890795394,5
505,Monte Morris,-1.872339222412873,5
10,Juancho Hernangomez,0.0,5
517,Terrance Ferguson,-1.9924878530795396,5
518,Nerlens Noel,-2.0888641197462063,5
519,Steven Adams,3.8844356135871276,5
520,Abdel Nader,-2.1899806530795396,5
411,Austin Rivers,-3.249907493946207,5
374,Jarell Martin,-0.2867443394128728,5
11,Amile Jefferson,0.0,5
12,Robert Williams III,0.0,5
13,Jordan Loyd,0.0,5
175,Chris Boucher,-3.0229717239462066,5
478,Georges Niang,-2.3839842692128728,5
236,Bruce Brown,-1.6384766082795397,5
384,Justise Winslow,-0.9584516278795397,5
14,Jason Smith,0.0,5
121,Daniel Theis,-2.1382771444795394,5
437,Tim Hardaway Jr.,3.7409579617871267,5
438,Devin Harris,-0.9757156382128729,5
521,Markieff Morris,-2.4435681197462062,5
423,Allonzo Trier,-0.30385127181287286,5
424,Mario Hezonja,0.5276153948537937,5
375,Khem Birch,-0.5635390060795396,5
320,Marvin Bagley III,1.3475437769204606,5
321,Yogi Ferrell,0.1993837769204605,5
247,Sam Dekker,-1.3293343325462061,5
248,Chasson Randle,-1.8336012658795395,5
176,Norman Powell,-0.6470298572795399,5
189,Jerryd Bayless,-0.06686973114620615,5
465,Tristan Thompson,2.5587471371871264,5
466,Collin Sexton,-1.0148435294795397,5
261,Kent Bazemore,2.8687696681265216,5
262,Taurean Prince,-1.281376198540146,5
15,Danuel House Jr.,0.0,5
348,Sterling Brown,-1.5062667704795396,5
221,Malik Monk,-1.0069638892795396,5
16,Julian Washburn,0.0,5
322,Kosta Koufos,1.7299171102537938,5
494,Tyreke Evans,1.0713989273871274,5
495,Alize Johnson,-2.0116773392795397,5
177,Pascal Siakam,-2.7329629239462063,5
17,PJ Dozier,0.0,5
333,Kyle Kuzma,-1.1817096904795397,5
334,Rajon Rondo,0.7676663095204606,5
479,Raul Neto,-2.214011202546206,5
480,Ricky Rubio,1.2059887974537937,5
467,Larry Nance Jr.,-1.4938325961462062,5
18,Jared Terrell,0.0,5
481,Royce O'Neale,-2.4198133358795397,5
19,Shake Milton,0.0,5
385,Duncan Robinson,-1.87563882787954,5
425,Mitchell Robinson,-0.8096006051462062,5
412,Chris Chiozza,-3.4720242939462063,5
122,Aron Baynes,-1.1208483444795394,5
263,Justin Anderson,-1.2842540652068124,5
279,Spencer Dinwiddie,-0.7362451875462065,5
123,Guerschon Yabusele,-1.7944483444795396,5
124,Semi Ojeleye,-2.1382771444795394,5
178,Kawhi Leonard,3.0188010760537938,5
439,Trey Burke,-0.9004052382128729,5
20,Daryl Macon,0.0,5
308,Jimmer Fredette,-0.11257967834620608,5
360,Evan Turner,2.41751831532046,5
400,Ivica Zubac,-1.5370726097462064,5
401,Tyrone Wallace,-1.589224076412873,5
163,Joel Embiid,3.9989379013871273,5
21,Devin Robinson,0.0,5
440,Courtney Lee,1.8885987617871272,5
22,PJ Tucker,0.0,5
386,Yante Maten,-1.8743756278795398,5
190,Anthony Tolliver,-0.8204473311462062,5
191,Keita Bates-Diop,-2.1301902644795394,5
426,Billy Garrett,-1.1943488718128727,5
23,Haywood Highsmith,0.0,5
349,Pat Connaughton,-1.4361979704795396,5
451,Quincy Pondexter,-2.0513543742128726,5
361,Meyers Leonard,0.4779593819871268,5
207,Damian Jones,-2.9780164199462065,5
496,Victor Oladipo,3.36473226072046,5
497,Kyle O'Quinn,-1.0488677392795396,5
24,Mo Bamba,0.0,5
376,Jonathan Isaac,0.3940177939204603,5
413,James Harden,4.61646877272046,5
414,Isaiah Hartenstein,-3.27243522727954,5
25,Luc Mbah a Moute,0.0,5
309,Josh Jackson,1.4529149883204608,5
310,Devin Booker,0.7256736549871274,5
192,Robert Covington,0.4366438688537937,5
377,Markelle Fultz,1.2928977939204604,5
164,Furkan Korkmaz,-2.3283287652795397,5
26,Isaiah Briscoe,0.0,5
148,Kyle Anderson,1.5518148873871271,5
149,Dillon Brooks,-0.3849205792795394,5
27,Omri Casspi,0.0,5
350,Donte DiVincenzo,-1.2121979704795396,5
468,John Henson,0.9208540705204606,5
469,Matthew Dellavedova,0.4621964705204605,5
362,Enes Kanter,-2.2176131513462063,5
427,Noah Vonleh,-0.8023576718128728,5
134,Ryan Arcidiacono,-0.18457010281287278,5
335,LeBron James,7.875439642853793,5
336,Lonzo Ball,0.35752230952046044,5
363,Rodney Hood,-1.4214056846795395,5
522,Deonte Burton,-2.5170886530795396,5
28,Svi Mykhailiuk,0.0,5
29,DeVaughn Akoon-Purcell,0.0,5
264,DeAndre' Bembry,-1.5192961985401459,5
30,Alex Poythress,0.0,5
265,Dewayne Dedmon,-0.03520019854014578,5
387,Hassan Whiteside,4.904304905453794,5
452,Chimezie Metu,-2.2311242408795393,5
388,Ryan Anderson,3.5675803721204606,5
31,Troy Williams,0.0,5
323,Willie Cauley-Stein,0.6518837769204604,5
32,Ish Smith,0.0,5
295,Frank Jackson,-1.9048011514795398,5
33,Andrew Harrison,0.0,5
453,Bryn Forbes,-1.6213813075462062,5
34,Dennis Schroder,0.0,5
523,Russell Westbrook,6.950261480253793,5
35,Alex Abrines,0.0,5
135,Wendell Carter Jr.,0.6399144305204606,5
150,Ivan Rabb,-0.3849205792795394,5
193,Taj Gibson,1.379552668853794,5
194,Karl-Anthony Towns,-0.26326466447953933,5
36,Johnathan Williams,0.0,5
506,Gary Harris,2.1725871775871264,5
507,Paul Millsap,5.5626970442537935,5
222,Tony Parker,-0.5929585559462062,5
208,Quinn Cook,-2.9780164199462065,5
266,Vince Carter,-1.551839931873479,5
267,Kevin Huerter,-1.3549441985401458,5
389,Derrick Jones Jr.,-1.474804961212873,5
136,Shaquille Harrison,-0.1947351694795394,5
37,Marcus Derrickson,0.0,5
337,Josh Hart,-1.1909576904795396,5
249,Dwight Howard,-0.6421596658795394,5
280,Dzanan Musa,-0.7426057208795395,5
38,Marcin Gortat,0.0,5
498,Bojan Bogdanovic,0.5647322607204603,5
125,Brad Wanamaker,-2.2822179444795396,5
441,Salah Mejri,-1.242343638212873,5
39,Malachi Richardson,0.0,5
40,Ike Anigbogu,0.0,5
41,CJ McCollum,0.0,5
42,Tyler Davis,0.0,5
268,John Collins,-1.3421121985401456,5
43,Jaron Blossomgame,0.0,5
44,Jalen Jones,0.0,5
45,Jawun Evans,0.0,5
281,Jared Dudley,1.3634636124537938,5
46,Nick Young,0.0,5
195,Josh Okogie,-1.7775886644795398,5
47,Ben McLemore,0.0,5
311,Tyler Johnson,4.973941654987128,5
482,Derrick Favors,1.7193221307871278,5
48,Naz Mitrou-Long,0.0,5
312,Kelly Oubre Jr.,0.6974776549871273,5
49,J.P. Macura,0.0,5
338,Tyson Chandler,-1.2768296904795398,5
508,Malik Beasley,-1.7591506890795396,5
179,Patrick McCaw,-2.935293590612873,5
250,Bobby Portis,-1.4002007325462063,5
50,Quincy Acy,0.0,5
51,Brandon Goodwin,0.0,5
509,Will Barton,0.9225874442537938,5
237,Blake Griffin,6.6949815250537945,5
238,Zaza Pachulia,-1.458706741612873,5
180,Serge Ibaka,2.632828009387128,5
251,Jabari Parker,3.2679736674537945,5
137,Lauri Markkanen,0.6652264305204607,5
282,Theo Pinson,-1.1766065208795395,5
52,Gary Payton II,0.0,5
196,Luol Deng,-1.950420397812873,5
390,Dwyane Wade,-1.474804961212873,5
53,Alan Williams,0.0,5
364,Jusuf Nurkic,0.9487873819871275,5
165,Jonathon Simmons,-1.1923287652795396,5
296,Cheick Diallo,-1.8603454181462065,5
510,Tyler Lydon,-1.7322706890795396,5
54,Tahjere McCall,0.0,5
138,Timothe Luwawu-Cabarrot,-0.13241863614620608,5
151,Chandler Parsons,5.676150354053794,5
55,CJ Miles,0.0,5
252,Troy Brown Jr.,-1.3322716658795395,5
339,Moritz Wagner,-1.1624456904795397,5
223,Frank Kaminsky,-0.9588673559462061,5
224,Willy Hernangomez,-1.5143049559462063,5
56,Lou Williams,0.0,5
57,BJ Johnson,0.0,5
365,Anfernee Simons,-1.8580368846795396,5
166,Jonah Bolden,-2.341662098612873,5
209,Stephen Curry,6.598571046720459,5
402,Garrett Temple,0.18427379025379356,5
499,Doug McDermott,-0.2797120059462064,5
511,Torrey Craig,-1.6988413557462063,5
126,Al Horford,5.208514055520461,5
378,Evan Fournier,3.602263127253795,5
181,Malcolm Miller,-3.0229717239462066,5
313,Ray Spalding,-0.1088914116795392,5
366,Maurice Harkless,0.40904551532046035,5
225,Marvin Williams,1.8303747773871275,5
324,Nemanja Bjelica,1.1327171102537936,5
470,David Nwaba,-1.696443262812873,5
428,Luke Kornet,-0.7739152718128729,5
58,Yuta Watanabe,0.0,5
500,Myles Turner,-1.3258586726128732,5
59,Scott Machado,0.0,5
152,Jevon Carter,-0.5288613792795394,5
297,Stanley Johnson,-1.2215584848128733,5
153,Mike Conley,7.38651222072046,5
298,Ian Clark,-1.868972084812873,5
483,Thabo Sefolosha,-1.3873445358795395,5
283,D'Angelo Russell,0.6940497457871271,5
239,Glenn Robinson III,-0.775400341612873,5
524,Jerami Grant,-0.24981931974620636,5
403,Jerome Robinson,-1.1367395430795397,5
60,JJ Redick,0.0,5
61,Jemerrio Jones,0.0,5
62,Melvin Frazier Jr.,0.0,5
442,Maxi Kleber,-1.0115447048795396,5
63,Davon Reed,0.0,5
351,George Hill,3.1928686961871264,5
429,Dennis Smith Jr.,-0.18706193847953945,5
64,Brandon Sampson,0.0,5
65,Mitchell Creek,0.0,5
197,Gorgui Dieng,1.6917625355204609,5
198,Andrew Wiggins,4.437486002187128,5
66,Isaiah Hicks,0.0,5
454,Donatas Motiejunas,-2.4387626408795393,5
240,Reggie Jackson,2.6828604583871267,5
67,Ron Baker,0.0,5
68,Carmelo Anthony,0.0,5
415,Chris Paul,6.011747706053793,5
253,Trevor Ariza,1.9346403341204605,5
254,Ian Mahinmi,2.1864147341204605,5
352,Malcolm Brogdon,-1.4618110371462063,5
139,Antonio Blakeney,-0.18457010281287278,5
340,Lance Stephenson,-0.4459336904795395,5
525,Hamidou Diallo,-2.3339214530795394,5
443,Dorian Finney-Smith,-0.9670889715462063,5
391,Josh Richardson,0.6197547721204603,5
69,Wesley Johnson,0.0,5
70,MarShon Brooks,0.0,5
455,Dante Cunningham,-1.7915146408795395,5
71,Zhou Qi,0.0,5
154,Jaren Jackson Jr.,0.8248922207204605,5
325,Caleb Swanigan,-0.13661622307953958,5
526,Raymond Felton,-2.1541515864128726,5
314,Jamal Crawford,0.24520325498712747,5
416,Gary Clark,-3.336859760612873,5
72,James Nunnally,0.0,5
501,Domantas Sabonis,-1.5259877392795398,5
155,Jonas Valanciunas,3.658035154053795,5
484,Dante Exum,-0.2273445358795394,5
182,Fred VanVleet,-0.8372573239462067,5
167,Ben Simmons,-1.0764567652795394,5
353,Tim Frazier,-1.8213838371462063,5
226,Nicolas Batum,4.47370811072046,5
73,Johnathan Motley,0.0,5
284,Joe Harris,1.0443524124537937,5
354,Giannis Antetokounmpo,4.568149496187127,5
241,Khyri Thomas,-1.6384766082795397,5
456,Rudy Gay,0.2352053591204607,5
183,Jeremy Lin,-3.0150541239462063,5
140,Zach LaVine,4.655594430520461,5
74,Michael Beasley,0.0,5
75,Wade Baldwin IV,0.0,5
417,Kenneth Faried,-3.31371602727954,5
168,Greg Monroe,-2.7763767652795397,5
76,Kadeem Allen,0.0,5
512,Isaiah Thomas,-1.8288144224128728,5
210,Jacob Evans,-2.9515393532795398,5
379,Jerian Grant,-0.22725313941287295,5
404,Landry Shamet,-1.4947555430795396,5
367,Al-Farouq Aminu,-0.4922808846795397,5
169,James Ennis III,-2.3599514319462065,5
211,DeMarcus Cousins,-1.9668033532795395,5
212,Kevin Durant,4.60999664672046,5
405,Shai Gilgeous-Alexander,-1.0489635430795397,5
127,Kyrie Irving,2.8539751221871272,5
77,Wes Iwundu,0.0,5
326,Bogdan Bogdanovic,1.7993837769204606,5
227,Dwayne Bacon,-1.5587606892795396,5
471,Marquese Chriss,-1.2448275294795397,5
368,Gary Trent Jr.,-2.12391848467954,5
213,Jonas Jerebko,-2.9866430866128733,5
472,Kevin Love,4.331936470520461,5
430,John Jenkins,-1.075979271812873,5
255,Jordan McRae,-2.060801799212873,5
431,Frank Ntilikina,-0.0975259384795395,5
214,Andrew Bogut,-3.3079638866128733,5
78,Troy Caupain,0.0,5
156,Bruno Caboclo,-0.6132117792795395,5
79,Bonzie Colson,0.0,5
299,Elfrid Payton,-1.4723323514795397,5
485,Ekpe Udoh,-1.8913445358795395,5
141,Walter Lemon Jr.,-0.5179770361462062,5
457,Derrick White,-2.0101386408795396,5
269,Isaac Humphries,-1.9425679318734792,5
527,Paul George,5.5920081469204606,5
444,Dirk Nowitzki,-0.0457425715462062,5
80,Tyler Zeller,0.0,5
355,Ersan Ilyasova,-0.007131303812873219,5
473,Channing Frye,-1.696443262812873,5
81,Cameron Reynolds,0.0,5
170,Zhaire Smith,-2.0958487652795394,5
418,Clint Capela,0.1821351727204601,5
82,Isaiah Canaan,0.0,5
256,John Wall,3.0465870007871274,5
228,Shelvin Mack,-1.5229316226128728,5
83,Cameron Payne,0.0,5
341,Kentavious Caldwell-Pope,1.5676663095204606,5
242,Luke Kennard,-0.9886590082795397,5
84,JR Smith,0.0,5
85,Frank Mason,0.0,5
86,Milos Teodosic,0.0,5
315,Dragan Bender,1.084850988320461,5
87,DJ Stephens,0.0,5
486,Tony Bradley,-2.3394725358795396,5
513,Trey Lyles,-1.3350416224128732,5
285,Shabazz Napier,-0.6598905208795397,5
270,Omari Spellman,-1.5230721985401456,5
142,Kris Dunn,0.5811944305204605,5
157,Joakim Noah,-0.46075631261287286,5
88,Kobi Simmons,0.0,5
171,Jimmy Butler,2.6598789680537944,5
199,Derrick Rose,-1.950420397812873,5
257,Jeff Green,-1.6619993992128728,5
300,Jrue Holiday,4.654630581853794,5
327,Corey Brewer,-0.06728288974620633,5
89,Terrence Jones,0.0,5
406,Patrick Beverley,-0.6085190097462064,5
369,Zach Collins,-1.3797968846795396,5
487,Donovan Mitchell,-1.9576165358795397,5
514,Mason Plumlee,1.2125741109204606,5
515,Jarred Vanderbilt,-2.00858428907954,5
128,Gordon Hayward,5.81800365552046,5
184,Eric Moreland,-3.140391990612873,5
380,Aaron Gordon,4.8265055272537944,5
185,Danny Green,-0.4782831906128733,5
229,Devonte' Graham,-1.6627014892795395,5
432,Henry Ellenson,-1.114563005146206,5
502,Edmond Sumner,-2.115322672612873,5
301,Christian Wood,-1.868972084812873,5
392,Kelly Olynyk,1.3585086387871272,5
186,Jodie Meeks,-3.1084879906128733,5
445,Justin Jackson,-0.6303079048795395,5
271,Deyonta Davis,-1.9483636652068126,5
286,Treveon Graham,-0.7745094542128729,5
458,DeMar DeRozan,4.942612025787127,5
90,Tyler Cavanaugh,0.0,5
91,JaKarr Sampson,0.0,5
393,Udonis Haslem,-1.474804961212873,5
92,C.J. Williams,0.0,5
93,Drew Eubanks,0.0,5
328,Buddy Hield,0.4217197769204606,5
94,J.J. Barea,0.0,5
243,Jose Calderon,-1.458706741612873,5
272,Miles Plumlee,1.378133134793188,5
95,Vincent Edwards,0.0,5
96,Jaylen Morris,0.0,5
97,Okaro White,0.0,5
446,Ryan Broekhoff,-1.1554855048795396,5
98,Daniel Hamilton,0.0,5
99,Trevon Duval,0.0,5
100,Jordan Sibert,0.0,5
129,Marcus Smart,0.603715922187127,5
101,Justin Patton,0.0,5
200,Dario Saric,-1.6799566644795398,5
230,Bismack Biyombo,2.607041444053795,5
287,Ed Davis,0.008530279120460449,5
302,Jahlil Okafor,-1.8544638181462063,5
356,Pau Gasol,-1.7849219704795396,5
370,Jake Layman,-1.9355219513462063,5
215,Kevon Looney,-2.9866430866128733,5
407,Sindarius Thornwell,-1.5815283430795397,5
433,DeAndre Jordan,4.900202061520461,5
488,Joe Ingles,0.6914434641204606,5
503,Aaron Holiday,-1.7254117392795398,5
516,Nikola Jokic,4.559091977587127,5
102,Thomas Welsh,0.0,5
459,Lonnie Walker IV,-1.8261386408795395,5
528,Patrick Patterson,-1.1037518530795396,5
394,James Johnson,2.02895477212046,5
381,Michael Carter-Williams,-0.9151182060795395,5
103,Rawle Alkins,0.0,5
104,Lorenzo Brown,0.0,5
316,T.J. Warren,2.975176321653794,5
342,Brandon Ingram,-0.09710169047953948,5
143,Chandler Hutchison,-0.013333569479539342,5
105,Demetrius Jackson,0.0,5
106,Donte Grantham,0.0,5
107,Emanuel Terry,0.0,5
108,Andre Ingram,0.0,5
109,Kostas Antetokounmpo,0.0,5
110,John Holland,0.0,5
111,Tyler Ulis,0.0,5
112,George King,0.0,5
113,RJ Hunter,0.0,5
114,Kalin Lucas,0.0,5
115,Angel Delgado,0.0,5
116,Dusty Hannahs,0.0,5
117,Joe Chealey,0.0,5
