,rating,Team,Type,mu,sd,name,finalpriors,finalse,player_id,index,player_name
0,6.239155241852652,Golden State Warriors,Rookie,1.2911326666666667,5,Harrison Barnes,0.07112392668675427,3.9004020284302636,203084,11,Harrison Barnes
1,6.239155241852652,Golden State Warriors,Rookie,0.3157586666666667,5,Ian Clark,-0.8966795538951938,3.9004020284302636,203546,434,Ian Clark
2,6.239155241852652,Golden State Warriors,Rookie,0.6695826666666667,5,Festus Ezeli,0.3380254952365266,3.9004020284302636,203105,10,Festus Ezeli
3,6.239155241852652,Golden State Warriors,Rookie,0.37732,5,Kevon Looney,-0.9008741841220193,3.9004020284302636,1626172,468,Kevon Looney
4,6.239155241852652,Golden State Warriors,Rookie,0.2816863333333333,5,James Michael McAdoo,-0.8950348910976176,3.9004020284302636,203949,315,James Michael McAdoo
5,2.72685865156104,Los Angeles Clippers,Rookie,0.175031,5,Branden Dawson,-0.948598018784365,3.9004020284302636,1626183,234,Branden Dawson
6,2.72685865156104,Los Angeles Clippers,Rookie,0.32711599999999996,5,Pablo Prigioni,-0.8966795538951938,3.9004020284302636,203143,80,Pablo Prigioni
7,2.72685865156104,Los Angeles Clippers,Rookie,1.0333333333333334,5,Austin Rivers,0.1816030818316756,3.9004020284302636,203085,79,Austin Rivers
8,2.72685865156104,Los Angeles Clippers,Rookie,0.020592,5,Alex Stepheson,-0.9774188343298398,3.9004020284302636,1627293,470,Alex Stepheson
9,2.38846342928413,San Antonio Spurs,Rookie,0.38095966666666653,5,Kyle Anderson,-0.9008741841220193,3.9004020284302636,203937,95,Kyle Anderson
10,2.38846342928413,San Antonio Spurs,Rookie,0.4,5,Boban Marjanovic,-0.8545606961060359,3.9004020284302636,1626246,248,Boban Marjanovic
11,2.38846342928413,San Antonio Spurs,Rookie,0.3157586666666667,5,Ray McCallum,-0.8966795538951938,3.9004020284302636,203492,181,Ray McCallum
12,2.38846342928413,San Antonio Spurs,Rookie,0.175031,5,Jonathon Simmons,-0.948598018784365,3.9004020284302636,203613,466,Jonathon Simmons
13,0.9002914205478559,Cleveland Cavaliers,Rookie,0.3824266666666667,5,Matthew Dellavedova,-0.9008741841220193,3.9004020284302636,203521,83,Matthew Dellavedova
14,0.9002914205478559,Cleveland Cavaliers,Rookie,0.43333333333333335,5,Sasha Kaun,-0.8111827519362685,3.9004020284302636,201619,377,Sasha Kaun
15,0.9002914205478559,Cleveland Cavaliers,Rookie,0.057657333333333324,5,Jordan McRae,-0.9774188343298398,3.9004020284302636,203895,278,Jordan McRae
16,0.0,Atlanta Hawks,Rookie,0.6666666666666666,5,Kent Bazemore,-2.2958368108089457,3.9004020284302636,203145,3,Kent Bazemore
17,0.0,Atlanta Hawks,Rookie,0.43483999999999995,5,Tim Hardaway Jr.,-0.8111827519362685,3.9004020284302636,203501,197,Tim Hardaway Jr.
18,0.0,Atlanta Hawks,Rookie,0.3157586666666667,5,Mike Muscala,-0.8966795538951938,3.9004020284302636,203488,2,Mike Muscala
19,0.0,Atlanta Hawks,Rookie,0.175031,5,Lamar Patterson,-0.948598018784365,3.9004020284302636,203934,446,Lamar Patterson
20,0.0,Atlanta Hawks,Rookie,0.5878,5,Dennis Schroder,-0.6937059825128542,3.9004020284302636,203471,1,Dennis Schroder
21,0.0,Atlanta Hawks,Rookie,1.111111,5,Mike Scott,0.08275861354220679,3.9004020284302636,203118,92,Mike Scott
22,0.0,Atlanta Hawks,Rookie,0.3333333333333333,5,Edy Tavares,-0.8966795538951938,3.9004020284302636,204002,235,Edy Tavares
23,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Cliff Alexander,-0.948598018784365,3.9004020284302636,1626146,191,Cliff Alexander
24,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Pat Connaughton,-0.948598018784365,3.9004020284302636,1626192,334,Pat Connaughton
25,-0.007954033365553871,Portland Trailblazers,Rookie,0.3157586666666667,5,Allen Crabbe,-0.8966795538951938,3.9004020284302636,203459,60,Allen Crabbe
26,-0.007954033365553871,Portland Trailblazers,Rookie,0.2816863333333333,5,Tim Frazier,-0.8950348910976176,3.9004020284302636,204025,192,Tim Frazier
27,-0.007954033365553871,Portland Trailblazers,Rookie,0.9646863333333332,5,Maurice Harkless,0.20320702040526167,3.9004020284302636,203090,371,Maurice Harkless
28,-0.007954033365553871,Portland Trailblazers,Rookie,1.0252933333333334,5,Meyers Leonard,0.19471422975947672,3.9004020284302636,203086,258,Meyers Leonard
29,-0.007954033365553871,Portland Trailblazers,Rookie,1.4120956666666666,5,Damian Lillard,0.07112392668675427,3.9004020284302636,203081,59,Damian Lillard
30,-0.007954033365553871,Portland Trailblazers,Rookie,0.84172,5,CJ McCollum,0.2272529373557169,3.9004020284302636,203468,61,CJ McCollum
31,-0.007954033365553871,Portland Trailblazers,Rookie,0.47184,5,Mason Plumlee,-0.9572059409892134,3.9004020284302636,203486,409,Mason Plumlee
32,-0.007954033365553871,Portland Trailblazers,Rookie,0.9516466666666666,5,Brian Roberts,0.20320702040526167,3.9004020284302636,203148,187,Brian Roberts
33,-0.007954033365553871,Portland Trailblazers,Rookie,0.8792399999999999,5,Noah Vonleh,0.20320702040526167,3.9004020284302636,203943,166,Noah Vonleh
34,-0.007954033365553871,Portland Trailblazers,Rookie,0.175031,5,Luis Montero,-0.948598018784365,3.9004020284302636,1626242,161,Luis Montero
35,-0.153245222115501,Memphis Grizzlies,Rookie,0.4682,5,Jordan Adams,-0.9572059409892134,3.9004020284302636,203919,369,Jordan Adams
36,-0.153245222115501,Memphis Grizzlies,Rookie,0.2816863333333333,5,JaMychal Green,-0.8950348910976176,3.9004020284302636,203210,198,JaMychal Green
37,-0.153245222115501,Memphis Grizzlies,Rookie,0.41028000000000003,5,Jarell Martin,-0.8129379163710868,3.9004020284302636,1626185,228,Jarell Martin
38,-0.153245222115501,Memphis Grizzlies,Rookie,0.27216066666666666,5,Russ Smith,-0.8950348910976176,3.9004020284302636,203893,392,Russ Smith
39,-0.153245222115501,Memphis Grizzlies,Rookie,0.010296,5,Briante Weber,-0.880108909096272,3.9004020284302636,1627362,271,Briante Weber
40,-0.153245222115501,Memphis Grizzlies,Rookie,0.029862666666666662,5,Xavier Munford,-0.9774188343298398,3.9004020284302636,204098,277,Xavier Munford
41,-0.161675770812095,Houston Rockets,Rookie,2.1666666666666665,5,Patrick Beverley,0.2613852394781933,3.9004020284302636,201976,302,Patrick Beverley
42,-0.161675770812095,Houston Rockets,Rookie,0.41423999999999994,5,Clint Capela,-0.7216612228585201,3.9004020284302636,203991,245,Clint Capela
43,-0.161675770812095,Houston Rockets,Rookie,0.5488,5,Sam Dekker,-0.6361282284301751,3.9004020284302636,1626155,288,Sam Dekker
44,-0.161675770812095,Houston Rockets,Rookie,0.3333333333333333,5,Montrezl Harrell,-0.8966795538951938,3.9004020284302636,1626149,39,Montrezl Harrell
45,-0.161675770812095,Houston Rockets,Rookie,0.8298433333333334,5,Terrence Jones,0.2272529373557169,3.9004020284302636,203093,196,Terrence Jones
46,-0.161675770812095,Houston Rockets,Rookie,0.762735,5,Donatas Motiejunas,0.05586747267163118,3.9004020284302636,202700,209,Donatas Motiejunas
47,-0.847521089036945,Dallas Mavericks,Rookie,0.483,5,Justin Anderson,-0.9572059409892134,3.9004020284302636,1626147,143,Justin Anderson
48,-0.847521089036945,Dallas Mavericks,Rookie,0.175031,5,Salah Mejri,-0.948598018784365,3.9004020284302636,1626257,255,Salah Mejri
49,-0.847521089036945,Dallas Mavericks,Rookie,0.2816863333333333,5,Dwight Powell,-0.8950348910976176,3.9004020284302636,203939,140,Dwight Powell
50,-1.12251761215489,Chicago Bulls,Rookie,0.2816863333333333,5,Cameron Bairstow,-0.8950348910976176,3.9004020284302636,203946,215,Cameron Bairstow
51,-1.12251761215489,Chicago Bulls,Rookie,0.17503,5,Cristiano Felicio,-0.948598018784365,3.9004020284302636,1626245,243,Cristiano Felicio
52,-1.12251761215489,Chicago Bulls,Rookie,0.31576666666666664,5,Justin Holiday,-0.8966795538951938,3.9004020284302636,203200,148,Justin Holiday
53,-1.12251761215489,Chicago Bulls,Rookie,0.79348,5,Doug McDermott,0.2178502956827613,3.9004020284302636,203926,156,Doug McDermott
54,-1.12251761215489,Chicago Bulls,Rookie,1.8479083333333333,5,Nikola Mirotic,0.18663181537230056,3.9004020284302636,202703,120,Nikola Mirotic
55,-1.12251761215489,Chicago Bulls,Rookie,0.46371999999999997,5,Bobby Portis,-0.9572059409892134,3.9004020284302636,1626171,406,Bobby Portis
56,-1.12251761215489,Chicago Bulls,Rookie,0.5119600000000001,5,Tony Snell,-0.7047415616074169,3.9004020284302636,203503,4,Tony Snell
57,-1.5691618237586298,Oklahoma City Thunder,Rookie,0.75968,5,Steven Adams,0.05586747267163118,3.9004020284302636,203500,51,Steven Adams
58,-1.5691618237586298,Oklahoma City Thunder,Rookie,0.38008000000000003,5,Josh Huestis,-0.9008741841220193,3.9004020284302636,203962,441,Josh Huestis
59,-1.5691618237586298,Oklahoma City Thunder,Rookie,0.48768,5,Mitch McGary,-0.9572059409892134,3.9004020284302636,203956,300,Mitch McGary
60,-1.5691618237586298,Oklahoma City Thunder,Rookie,0.67384,5,Cameron Payne,-0.018990339703941473,3.9004020284302636,1626166,284,Cameron Payne
61,-1.5691618237586298,Oklahoma City Thunder,Rookie,0.4036,5,Andre Roberson,-0.7853569816900808,3.9004020284302636,203460,50,Andre Roberson
62,-1.5691618237586298,Oklahoma City Thunder,Rookie,1.6666666666666667,5,Kyle Singler,0.08690733395425605,3.9004020284302636,202713,385,Kyle Singler
63,-1.5691618237586298,Oklahoma City Thunder,Rookie,1.71281,5,Dion Waiters,0.10052984939021525,3.9004020284302636,203079,54,Dion Waiters
64,-2.2829766082461203,Toronto Raptors,Rookie,0.508,5,Bruno Caboclo,-0.6465280649043724,3.9004020284302636,203998,471,Bruno Caboclo
65,-2.2829766082461203,Toronto Raptors,Rookie,0.614,5,Lucas Nogueira,-1.3322767601238295,3.9004020284302636,203512,397,Lucas Nogueira
66,-2.2829766082461203,Toronto Raptors,Rookie,0.21666666666666667,5,Norman Powell,-0.9434084360286693,3.9004020284302636,1626181,172,Norman Powell
67,-2.2829766082461203,Toronto Raptors,Rookie,1.184639,5,Terrence Ross,0.07112392668675427,3.9004020284302636,203082,37,Terrence Ross
68,-2.2829766082461203,Toronto Raptors,Rookie,1.5534940000000002,5,Jonas Valanciunas,0.07112392668675427,3.9004020284302636,202685,171,Jonas Valanciunas
69,-2.2829766082461203,Toronto Raptors,Rookie,0.50312,5,Delon Wright,-0.798175857237785,3.9004020284302636,1626153,223,Delon Wright
70,-2.8468612784556204,New Orleans Pelicans,Rookie,2.35691,5,Anthony Davis,1.671577021044704,3.9004020284302636,203076,137,Anthony Davis
71,-2.8468612784556204,New Orleans Pelicans,Rookie,0.09388633333333334,5,Bryce Dejean-Jones,-0.9853553209328909,3.9004020284302636,1626214,246,Bryce Dejean-Jones
72,-2.8468612784556204,New Orleans Pelicans,Rookie,0.018574,5,Orlando Johnson,-0.9886256938155964,3.9004020284302636,203111,348,Orlando Johnson
73,-2.8468612784556204,New Orleans Pelicans,Rookie,0.2816863333333333,5,Jarnell Stokes,-0.8950348910976176,3.9004020284302636,203950,346,Jarnell Stokes
74,-3.14618698550637,Washington Wizards,Rookie,1.898224666666667,5,Bradley Beal,0.283637557247723,3.9004020284302636,203078,110,Bradley Beal
75,-3.14618698550637,Washington Wizards,Rookie,0.18723866666666664,5,Jarell Eddie,-0.948598018784365,3.9004020284302636,204067,230,Jarell Eddie
76,-3.14618698550637,Washington Wizards,Rookie,0.64008,5,Kelly Oubre Jr.,-1.5045990755363265,3.9004020284302636,1626162,317,Kelly Oubre Jr.
77,-3.32697659971212,Utah Jazz,Rookie,0.88608,5,Trey Burke,0.20320702040526167,3.9004020284302636,203504,205,Trey Burke
78,-3.32697659971212,Utah Jazz,Rookie,0.39196,5,Rudy Gobert,-0.8881033596430906,3.9004020284302636,203497,153,Rudy Gobert
79,-3.32697659971212,Utah Jazz,Rookie,0.44948,5,Rodney Hood,-0.9171213061750944,3.9004020284302636,203918,185,Rodney Hood
80,-3.32697659971212,Utah Jazz,Rookie,0.75,5,Joe Ingles,0.25556506914398436,3.9004020284302636,204060,465,Joe Ingles
81,-3.32697659971212,Utah Jazz,Rookie,0.7466,5,Trey Lyles,0.2766255057038283,3.9004020284302636,1626168,337,Trey Lyles
82,-3.32697659971212,Utah Jazz,Rookie,0.12095933333333335,5,Elijah Millsap,-0.9667607454316333,3.9004020284302636,202407,155,Elijah Millsap
83,-3.32697659971212,Utah Jazz,Rookie,0.3333333333333333,5,Raul Neto,-0.8966795538951938,3.9004020284302636,203526,152,Raul Neto
84,-3.32697659971212,Utah Jazz,Rookie,1.0,5,Tibor Pleiss,0.20848194091445849,3.9004020284302636,202353,250,Tibor Pleiss
85,-3.32697659971212,Utah Jazz,Rookie,0.3157586666666667,5,Jeff Withey,-0.8966795538951938,3.9004020284302636,203481,395,Jeff Withey
86,-4.25185452688767,Indiana Pacers,Rookie,0.3333333333333333,5,Rakeem Christmas,-0.8966795538951938,3.9004020284302636,1626176,473,Rakeem Christmas
87,-4.25185452688767,Indiana Pacers,Rookie,0.45296000000000003,5,Solomon Hill,-0.9171213061750944,3.9004020284302636,203524,107,Solomon Hill
88,-4.25185452688767,Indiana Pacers,Rookie,0.2816666666666667,5,Glenn Robinson III,-0.8950348910976176,3.9004020284302636,203922,146,Glenn Robinson III
89,-4.25185452688767,Indiana Pacers,Rookie,0.78592,5,Myles Turner,0.17361475922950934,3.9004020284302636,1626167,306,Myles Turner
90,-4.25185452688767,Indiana Pacers,Rookie,0.2816863333333333,5,Shayne Whittington,-0.8950348910976176,3.9004020284302636,203963,251,Shayne Whittington
91,-4.25185452688767,Indiana Pacers,Rookie,0.3333333333333333,5,Joe Young,-0.8966795538951938,3.9004020284302636,1626202,264,Joe Young
92,-4.415885108794571,Phoenix Suns,Rookie,0.70928,5,Devin Booker,0.5278746048217925,3.9004020284302636,1626164,308,Devin Booker
93,-4.415885108794571,Phoenix Suns,Rookie,0.076221,5,Bryce Cotton,-0.9860309628795751,3.9004020284302636,203955,443,Bryce Cotton
94,-4.415885108794571,Phoenix Suns,Rookie,0.38672,5,Archie Goodwin,-0.8788353253879422,3.9004020284302636,203462,244,Archie Goodwin
95,-4.415885108794571,Phoenix Suns,Rookie,0.140483,5,Cory Jefferson,-0.9577161531505192,3.9004020284302636,203928,430,Cory Jefferson
96,-4.415885108794571,Phoenix Suns,Rookie,0.327,5,John Jenkins,-0.8966795538951938,3.9004020284302636,203098,355,John Jenkins
97,-4.415885108794571,Phoenix Suns,Rookie,1.26904,5,Alex Len,0.07112392668675427,3.9004020284302636,203458,106,Alex Len
98,-4.415885108794571,Phoenix Suns,Rookie,1.8333333333333333,5,Mirza Teletovic,0.21012468204627255,3.9004020284302636,203141,151,Mirza Teletovic
99,-4.415885108794571,Phoenix Suns,Rookie,0.6803600000000001,5,T.J. Warren,0.00238701727934286,3.9004020284302636,203933,407,T.J. Warren
100,-4.415885108794571,Phoenix Suns,Rookie,0.038095,5,Alan Williams,-0.9774188343298398,3.9004020284302636,1626210,282,Alan Williams
101,-4.6116591923167904,Boston Celtics,Rookie,0.020592,5,Coty Clarke,-0.9774188343298398,3.9004020284302636,1626262,440,Coty Clarke
102,-4.6116591923167904,Boston Celtics,Rookie,2.0,5,Jae Crowder,0.2723359277122964,3.9004020284302636,203109,22,Jae Crowder
103,-4.6116591923167904,Boston Celtics,Rookie,0.4,5,Jordan Mickey,-0.8545606961060359,3.9004020284302636,1626175,437,Jordan Mickey
104,-4.6116591923167904,Boston Celtics,Rookie,0.72172,5,Kelly Olynyk,0.4243034887705203,3.9004020284302636,203482,421,Kelly Olynyk
105,-4.6116591923167904,Boston Celtics,Rookie,0.60812,5,Terry Rozier,-1.3322767601238295,3.9004020284302636,1626179,25,Terry Rozier
106,-4.6116591923167904,Boston Celtics,Rookie,1.14368,5,Marcus Smart,0.07112392668675427,3.9004020284302636,203935,449,Marcus Smart
